TimeSlice	Taxonomy	TaxonomyAuthors	LatRange
27-13 Ma	Cancellaria (Euclia) dalliana Anderson	Cancellaria (Euclia) dalliana Anderson	Subgenus, northern Gulf of California-5S
27-13 Ma	Cancellaria (Euclia) dalliana Anderson	Cancellaria dalliana Anderson	Subgenus, northern Gulf of California-5S
23-8 Ma	Cancellaria (Euclia) joaquinensis Anderson	Cancellaria joaquinensis Anderson (pabloensis	Subgenus, northern Gulf of California-5S
		Clark)	
23-8 Ma	Cancellaria (Euclia) joaquinensis Anderson	Cancellaria joaquinensis Anderson	Subgenus, northern Gulf of California-5S
17-13 Ma	Cancellaria (Euclia) ocoyana Addicott	Cancellaria (Euclia) ocoyana Addicott	Subgenus, northern Gulf of California-5S
23-13 Ma	Cancellaria (Euclia) oregonensis Conrad	Cancellaria (Euclia) oregonensis Conrad	Subgenus, northern Gulf of California-5S
23-13 Ma	Cancellaria (Euclia) oregonensis Conrad	Cancellaria andersoni Clark	Subgenus, northern Gulf of California-5S
23-13 Ma	Cancellaria (Euclia) oregonensis Conrad	Cancellaria condoni Anderson (in part, in	Subgenus, northern Gulf of California-5S
		Anderson, 1905)	
23-13 Ma	Cancellaria (Euclia) oregonensis Conrad	Cancellaria dalliana Anderson (in part in	Subgenus, northern Gulf of California-5S
		Anderson and Martin, 1914)	
23-13 Ma	Cancellaria (Euclia) oregonensis Conrad	Cancellaria oregonensis Conrad	Subgenus, northern Gulf of California-5S
23-13 Ma	Cancellaria (Euclia) oregonensis Conrad	Cancellaria ramonensis Clark	Subgenus, northern Gulf of California-5S
13-5 Ma	Cancellaria (Euclia) pabloensis Clark	Cancellaria pabloensis Clark	Subgenus, northern Gulf of California-5S
23-13 Ma	Cancellaria (Euclia) pacifica Anderson	Cancellaria andersoni Arnold	Subgenus, northern Gulf of California-5S
23-13 Ma	Cancellaria (Euclia) pacifica Anderson	Cancellaria (Euclia) pacifica Anderson	Subgenus, northern Gulf of California-5S
23-13 Ma	Cancellaria (Euclia) pacifica Anderson	Cancellaria pacifica Anderson	Subgenus, northern Gulf of California-5S
23-13 Ma	Cancellaria (Euclia) simplex Anderson	Cancellaria (Euclia) simplex Anderson	Subgenus, northern Gulf of California-5S
23-13 Ma	Cancellaria (Euclia) simplex Anderson	Cancellaria vetusta Gabb	Subgenus, northern Gulf of California-5S
23-13 Ma	Cancellaria (Euclia) simplex Anderson	Cancellaria simplex Anderson	Subgenus, northern Gulf of California-5S
N.D.	Cancellaria (Euclia) sp.	Cancellaria (Euclia) sp.	Subgenus, northern Gulf of California-5S
23-17 or 8? Ma	Cancellaria (Euclia) wynoochensis Weaver	Cancellaria wynoochensis Weaver	Subgenus, northern Gulf of California-5S
23-13 or 8? Ma	Cancellaria (Euclia?) nevadensis Anderson and	Cancellaria (Euclia?) nevadensis Anderson and	Subgenus, northern Gulf of California-5S
	Martin	Martin	
23-13 or 8? Ma	Cancellaria (Euclia?) nevadensis Anderson and	Cancellaria nevadensis Anderson and Martin	Subgenus, northern Gulf of California-5S
	Martin		
17-13 Ma	Cancellaria (Narona) birchi Addicott	Cancellaria (Narona) birchi Addicott Subgenus,	24N-5S; in depths to 128 m
			
23-13 Ma	Cancellaria (Pryuclia) lickana Anderson and	Cancellaria (Pyruclia) lickana Anderson and	Subgenus, Gulf of California-5S, deep water; to 37 m
	Martin	Martin	
23-13 Ma	Cancellaria (Pyruclia) lickana Anderson and	Cancellaria andersoni Arnold	Subgenus, Gulf of California-5S, deep water; to 37 m
	Martin		
23-13 Ma	Cancellaria (Pyruclia) lickana Anderson and	Cancellaria lickana Anderson and Martin	Subgenus, Gulf of California-5S, deep water; to 37 m
	Martin		
23-13 Ma	Cancellaria (Pyruclia) lickana Anderson and	Cancellaria lickana Anderson and Martin	Subgenus, Gulf of California-5S, deep water; to 37 m
	Martin	(joaquinensis Anderson)	
23-13 Ma	Cancellaria (Pyruclia) lickana Anderson and	Thais (Nuclella) lima Martyn (in Loel and Corey, 1932)	Subgenus, Gulf of California-5S, deep water; to 37 m
	Martin		
8-2.5 Ma	Cancellaria arnoldi Dall	“Cancellaria” arnoldi Dall	Genus, 56N-3S, through Gulf of California
8-2.5 Ma	Cancellaria arnoldi Dall	Cancellaria arnoldi Dall	Genus, 56N-3S, through Gulf of California
5-2.5 Ma	Cancellaria cf. C. altispira Gabb	“Cancellaria” cf. C. altispira Gabb	Genus, 56N-3S, through Gulf of California
5 Ma-H	Cancellaria cf. C. cooperi Gabb	Progabbia cf. P. cooperi (Gabb)	37N-28N; offshore sandy substrate
13? or 8-5 Ma	Cancellaria cf. C. fernandoensis Arnold	Cancellaria cf. C. fernandoensis Arnold	Genus, 56N-3S, through Gulf of California
8-5 Ma	Cancellaria crassa Nomland	Cancellaria crassa Nomland	Genus, 56N-3S, through Gulf of California
5 Ma-H	Cancellaria crawfordiana Dall	Cancellaria crawfordiana Dall	38N-33N
5 Ma-H	Cancellaria crawfordiana Dall	Crawfordiana fulgeri (Arnold)	38N-33N
23-13 Ma	Cancellaria dalli (Anderson and Martin)	Cancellaria bakeri (Anderson)	Genus, 56N-3S, through Gulf of California
23-13 Ma	Cancellaria dalli (Anderson and Martin)	Cancellaria barkeri (Anderson in Hanna)	Genus, 56N-3S, through Gulf of California
23-13 Ma	Cancellaria dalli (Anderson and Martin)	Cancellaria dalli (Anderson and Martin)	Genus, 56N-3S, through Gulf of California
23-13 Ma	Cancellaria dalli (Anderson and Martin)	Fossarius dalli Anderson and Martin	Genus, 56N-3S, through Gulf of California
13-5 Ma	Cancellaria elsemerenis English	Cancellaria elsemerenis English	Genus, 56N-3S, through Gulf of California
13? or 8-5 Ma	Cancellaria fernandoensis Arnold	Cancellaria fernandoensis Arnold	Genus, 56N-3S, through Gulf of California
8-5 Ma	Cancellaria fernandoensis Arnold tribulis	Cancellaria fernandoensis Arnold tribulis	Genus, 56N-3S, through Gulf of California
	Nomland	Nomland	
27-23 Ma	Cancellaria galei Addicott	Cancellaria galei Addicott	Genus, 56N-3S through Gulf of California
8-5 Ma	Cancellaria hamlini Carson	Cancellaria hamlini Carson	Genus, 56N-3S, through Gulf of California
13-2.5 Ma	Cancellaria hemphilli Dall	“Cancellaria” hemphilli Dall	Genus, 56N-3S, through Gulf of California
13-2.5 Ma	Cancellaria hemphilli Dall	Cancellaria hemphilli Dall	Genus, 56N-3S, through Gulf of California
17-13 Ma	Cancellaria keenae Addicott	Cancellaria keenae Addicott	Genus, 56N-3S, through Gulf of California
5-2.5 Ma	Cancellaria lipara Woodring	Cancellaria lipara Woodring	Genus, 56N-3S, through Gulf of California
13 Ma-H	Cancellaria obesa Sowerby	Cancellaria obesa Sowerby	27N-3S; intertidal to 90 m
8-5 Ma	Cancellaria planospira Grant and Gale	Cancellaria planospira Grant and Gale	Genus, 56N-3S, through Gulf of California
5-2.5 Ma	Cancellaria quadrata Moody	“Cancellaria” quadrata Moody	Genus, 56N-3S, through Gulf of California
13? or 8-2.5 Ma	Cancellaria rapa Nomland	“Cancellaria” rapa Nomland?	Genus, 56N-3S, through Gulf of California
13? or 8-2.5 Ma	Cancellaria rapa Nomland	Cancellaria rapa Nomland	Genus, 56N-3S, through Gulf of California
5-2.5 Ma	Cancellaria rapa perrini Carson	“Cancellaria” rapa perrini Carson	Genus, 56N-3S, through Gulf of California
N.D.	Cancellaria sp.	Cancellaria n.sp.? A	Genus, 56N-3S, through Gulf of California
N.D.	Cancellaria sp.	Progabbia sp.	Genus, 56N-3S, through Gulf of California
5-2.5 Ma	Cancellaria sp. a (Davis, 1998)	Cancellaria sp. A (Davis, 1998)	Genus, 56N-3S, through Gulf of California
5-2.5 Ma	Cancellaria sp. b (Davis, 1998)	Cancellaria sp. B (Davis, 1998)	Genus, 56N-3S, through Gulf of California
13-2.5 Ma	Cancellaria tritonidea Gabb	Cancellaria tritonidea Gabb	Genus, 56N-3S, through Gulf of California
N.D.	Cancer antennarius Stimpson	Cancer antennarius Stimpson (Arthropoda)	N.D.
N.D.	Cancer magister Dana	Cancer magister Dana	N.D.
N.D.	Cancer sp. aff. C. magister Dana	Cancer sp. aff. C. magister Dana	N.D.
5 Ma-H	Cantharus (Gemophos) cf. C. (G.) elegans	Cantharus? cf. C. elegans (Gray)	25N-5S; intertidal on rocks
	(Griffith and Pidgeon)		
5 Ma-H	Cantharus (Gemophos) ringens (Reeve)	Cantharus aff. C. ringens (Reeve)	24N-3S; on rocks intertidal
			
N.D.	Cantharus sp.	Cantharus sp.	Genus, 28N-5S, through Gulf of California; intertidal
			on rocks
N.D.	Capulus sp.	Capulus sp.	Genus, 34N-29N
N.D.	Capulus sp.	Capulus sp.	Genus, 34N-29N; 37 to 46 m
5 Ma-H	Capulus? cf. C. californicus Dall	Capulus? cf. C. californicus Dall	34N-29N; 37 to 46 m
5 Ma-H	Cardiomya cf. C. planetica Dall	Cardiomya cf. C. planetica Dall	55.6N-7.1N; 25 to 3000 m
N.D.	Cardiomya n.sp.? Powell	Cardiomya n.sp.? Powell	Genus, 61N-1S; 5 to 3000 m
5 Ma-H	Cardiomya pectinata (Carpenter)	Cuspidaria (Cardiomya) pectinata Carpenter	60.9N-36.7N; 5 to 1000 m
8? Ma-H	Cardita (Carditamera) aff. C. (C.) radiata	Glans n.sp. aff. G. radiata (Sowerby)	28N-3S; on mudflats to 24 m
	Sowerby		
13? Ma-H	Cardita n.sp. aff. C. affinis Sowerby	Cardita n.sp. aff. C. affinis (Sowerby)	29N-4S; under rocks and in crevices to 27 m
N.D.	Cardita sp.	Cardita sp. indet.	Questionable identification
N.D.	Cardita sp.	Cardita sp.	Genus, 29N-4S; sand, rocks, and mud, to 100 m
23-17 Ma	Cardita sp. aff. C. caribbeanensis Olsson	Cardita sp. aff. C. caribbeanensis Olsson	Genus, 31N-15 N, Gulf of Mexico
5-2.5 Ma	Cardita subtenta (Conrad)	Venericardia subtenta Conrad	Genus, if Cardita, 29N-4S
5-2.5 Ma	Cardita subtenta var. quadrata (Conrad)	Venericardia subtenta var. quadrata Conrad	Genus, if Cardita, 29N-4S
13 Ma-H	Cardites crassicostata (Sowerby)	Cardites crassicostata (Sowerby)	27N-2S; intertidal to 55 m
N.D.	Cardium sp.	Cardium sp.	Questionable generic assignments of Cardium
N.D.	Carinodrillia n.sp. Powell	Carinodrillia n.sp. Powell	Genus, 31N in Gulf of California-3S; gravel, rocks,
			and sand, to 80 m
27-23 Ma	Cassidulus ellipticus Kew	Cassidulus (Rhynchopygus) ellipticus Kew	Genus, Gulf of California-0
		(Echinodermata)	
N.D.	Cassidulus mexicanus Kew	Cassidulus mexicans Kew	Genus, Gulf of Californiaz-0
27-23 Ma	Cassidulus? mexicanus Kew	Echinolampas?	Genus, Gulf of California-0
N.D.	Cassis sp.	Cassis sp.	Genus, 23N-3S, through Gulf of California; on sand in
			shallow water
13-8 Ma	Cassis subtuberosus Hanna	Cassis subtuberosa Hanna	Genus, 23N-3S, through Gulf of California
N.D.	Centrostephanus? sp.	Centrostephanus? sp. (Echinodermata)	Genus, 23N-8N, and Gulf of California
N.D.	Cerastoderma ap.	Cerastoderma sp.	Questionable generic assignment
17? or 8 Ma-H	Ceratostoma aff. C. foliata (Gmelin)	Purpura cf. P. foliata Martyn	57N-33N
5-2.5 Ma	Ceratostoma cf. C. carpenteri (Dall)	Jaton cf. J. carpenteri (Dall)	Genus, 57N-5S; through Gulf of California; intertidal
			on rocks to 64 m
5? Ma-H	Ceratostoma cf. C. monoceros (Sowerby)	Ceratostoma cf. C. monoceros (Sowerby)	27N-25N
17-13 Ma	Ceratostoma delorae Hall	Ceratostoma delorae Hall	Genus, 57N-5S, through Gulf of California
17? or 8 Ma-H	Ceratostoma foliata (Gmelin)	Ceratostoma foliata (Gmelin)	57N-33N
17? or 8 Ma-H	Ceratostoma foliata (Gmelin)	Ceratostoma foliatum (Gmelin)	57N-33N
5 Ma-H	Ceratostoma gemma (Sowerby)	Maxwellia gemma (Sowerby) (Jaton, Murex,	34N-27N
		Purpura of authors)	
13-8 Ma	Ceratostoma nanna (Nomland)	Ceratostoma nanna (Nomland)	Genus, 57N-5S, through Gulf of California
13-8 Ma	Ceratostoma nanna (Nomland)	Purpura nanna Nomland	Genus, 57N-5S, through Gulf of California
8 Ma-H	Ceratostoma nuttalli (Conrad)?	Ceratostoma nuttalli (Conrad)?	37N-27N
N.D.	Ceratostoma sp.	Jaton? sp.	Genus, 57N-5S, through Gulf of California
27-23 Ma	Ceratostoma? aff. C. perponderosa (Dall)	Ceratostoma? aff. C. perponderosum (Dall)	Genus, 57N-5S, through Gulf of California
5-2.5 Ma	Cerithidea californica (Haldeman)	Cerithidae californica (Haldeman)	38N-27N; intertidal on mudflats
17-13 Ma	Cerithiopsis aff. C. subloriosa Baker, Hanna, and	Cerithiopsis aff. C. subloriosa Baker, Hanna, and	Genus, 60N-5S; species, Gulf of California
	Strong	Strong	
17-13 Ma	Cerithiopsis n.sp. aff. C. carpenteri Bartsch	Cerithiopsis n.sp. aff. C. carpenteri Bartsch	C. carpenteri, 34N-33N; usually on sponges
N.D.	Cerithiopsis n.sp. Powell	Cerithiopsis n.sp. Powell	Genus, 60N-5S; intertidal to 156 m
N.D.	Cerithiopsis sp.	Cerithiopsis sp.	Genus, 60N-27N
5-2.5 Ma	Cerithium (Thericium) simplicus Grant and Gale?	Cerithium simplicus Grant and Gale?	Genus, Gulf of California-5S; intertidal to 37 m
13 Ma-H	Cerithium (Thericium) uncinatum (Gmelin)	Cerithium (Thericium) uncinatum (Gmelin)	Gulf of California-3S; mostly offshore to 37 m
N.D.	Cerithium sp.	Cerithium sp.	Genus, Gulf of California-5S
N.D.	Cerithium sp.	Cerithium sp.	If Cerithium; genus, Gulf of California-5S
N.D.	Cerithium sp.	Cerithium sp.	Questionable generic assignment
5 Ma-H	Chaceia ovoidea (Gould)	Pholadidea ovoidea (Gould)	37.9N-27.7N; intertidal to 46 m, boring in shale and rocks at low tide
			
			
23? or 13 Ma-H	Chama (Chama) arcana Bernard	Chama pellucida (Sowerby)	37.1N-9.7N; in bays attached to rocks, intertidal to 80 m
			
13 Ma-H	Chama (Chama) frondosa Broderip	Chama frondosa Broderip	24N-2N; intertidal on rocks to a few meters
13 Ma-H	Chama buddiana Adams	Chama buddiana C. B. Adams	11N-0
13 Ma-H	Chama corallina Olsson	Chama corallina Olsson	23N-8N; dredged in 55 m
N.D.	Chama sp.	Chama sp.	Genus, 44N-5S; intertidal to 46 m
5 Ma-H	Cheilea cepacea (Broderip)	Cheilea cepacea (Broderip)	32N in Gulf of California
13 Ma-H	Cheilea equestris Linnaeus	Mitrularia equestris Linnaeus	35N-15N Atlantic; 498 to 622 m
13? or 8-2.5 Ma	Chione (Anomalocardia) femandoensis English	Chione fernandoensis English	Genus, 34N-6S; intertidal, sand or mud
			to 110 m
13? or 8-2.5 Ma	Chione (Anomalocardia) fernandoensis English	Chione fernandoensis English	Genus, 34N-6S
5-2.5 Ma	Chione (Chione) allisoni Hertlein	Chione (Chione) allisoni Hertlein	Genus, 34N-6S
17? or 5 Ma-H	Chione (Chione) californiensis (Broderip)	Chione succincta Valenciennes	37.7N-16.9N; offshore, mud substrate to 50 m, and
			mudflats, bays
5 Ma-H	Chione (Chione) cf. C. (C.) undatella Sowerby	Chione (Chione) cf. C. (C.) undatella Sowerby	34N-5S; protected sandy beaches and offshore to 40 m
			
5 Ma-H	Chione (Chione?) subimbriacata (Sowerby)	Anomalocardia sp. cf. A. subimbricata Sowerby	28N-5S; offshore to 9 m
8? Ma-H	Chione (Chionista) aff. C. (C.) gnidia (Broderip	Chione aff. C. gnidia (Broderip and Sowerby)	32N-6S; in bays and offshore to 33 m
	and Sowerby)		
8-5 Ma	Chione (Chionopsis) coalingensis Adegoke	Chione (Chionopsis) coalingensis Adegoke	Subgenus, 27N-4S; to 70 m
8-5 Ma	Chione (Chionopsis) semplicata Nomland	Chione (Chionopsis) semplicata Nomland	Subgenus, 27N-4S
N.D.	Chione (Chionopsis) sp.	Chione (Chionopsis) sp.	Subgenus, 27N-4S
23-8 Ma	Chione (Chionopsis) temblorensis (Anderson)	Chione (Chione) temblorensis (Anderson)	Subgenus, 27N-4S
23-8 Ma	Chione (Chionopsis) temblorensis (Anderson)	Chione (Chionopsis) temblorensis (Anderson)?	Subgenus, 27N-4S
23-8 Ma	Chione (Chionopsis) temblorensis (Anderson)	Chione temblorensis (Anderson)	Subgenus, 27N-4S
5 Ma-H	Chione (Lirophora) aff. C. (L.) latilaminosa	Chione aff. C. latilaminosa Anderson and Martin	Subgenus, 28N-5S
	Anderson and Martin		
5 Ma-H	Chione (Lirophora) aff. C. (L.) latilaminosa	Chione (Lirophora) aff. C. latilaminosa Anderson	Subgenus, 28N-5S
	Anderson and Martin	and Martin	
5 Ma-H	Chione (Lirophora) aff. C. (L.) mariea (d’Orbigny)	Chione (Lirophora) aff. C. mariea (d’Orbigny)	28N-3S, through Gulf of California; offshore to 110 m
5-2.5 Ma	Chione (Lirophora) hannai Parker	Chione (Lirophora) hannai Parker	Genus, 34N-6S
27-13 Ma	Chione (Lirophora) latilaminosa Anderson and Martin	Chione (Lirophora) latilaminosa Anderson and	Subgenus, 28N-5S; to 110 m
		Martin	
27-13 Ma	Chione (Lirophora) latilaminosa Anderson and Martin	Chione latilaminosa Anderson	Subgenus, 28N-5S
			
23-17 Ma	Chione (Securella) ensifera (Dall)	Chione (Securella) ensifera (Dall)	Genus, 34N-6S; intertidal, sand or mud, to 110 m
			
5-2.5 Ma	Chione (Securella) kanakoffi Hertlein	Chione (Securella) kanakoffi Hertlein	Genus, 34N-6S
8-2.5 Ma	Chione cf. C. elsmerensis English	Chione cf. C. elsmerensis English	Genus, 34N-6S
13-8 Ma	Chione cf. wilcoxi (Dall)	Chione cf. wilcoxi (Dall)	Genus, 34N-6S
13-8 Ma	Chione diabloensis Clark	Chione diabloensis Clark	Genus, 34N-6S
8-2.5 Ma	Chione elsmerensis English	Chione (Securella) elsmerensis English	Genus, 34N-6S
8-2.5 Ma	Chione elsmerensis English	Chione elsmerensis English	Genus, 34N-6S
8-2.5 Ma	Chione elsmerensis English	Securella elsmerensis (English)	Genus, 34N-6S
27-23 Ma	Chione juanensis Loel and Corey	Chione juanensis Loel and Corey	Genus, 34N-6S
13-8 Ma	Chione margaritana Anderson and Martin	Securella margaritana (Anderson and Martin)	Genus, 34N-6S
13-8 Ma	Chione pabloensis Clark	Chione pabloensis Clark	Genus, 34N-6S
27-8 Ma	Chione panzana Anderson and Martin	Securella panzana (Anderson and Martin)	Genus, 34N-6S
27-8 Ma	Chione panzana Anderson and Martin	Chione panzana Anderson and Martin	Genus, 34N-6S
			
27-23 or 5? Ma	Chione richthofeni Hertlein and Jordan	Chione richthofeni Hertlein and Jordan	Genus, 34N-6S
27-23 Ma	Chione schencki Loel and Corey (not C. vickeryi	Chione schencki Loel and Corey	Genus, 34N-6S
	Wiedey)		
17-2.5 Ma	Chione securis (Shumard)	Chione securis (Shumard)	Genus, 34N-6S
17-2.5 Ma	Chione securis (Shumard)	Venus (Chione) securis Shumard	Genus, 34N-6S
17-2.5 Ma	Chione securis (Shumard)	Securella securis (Shumard)	Genus, 34N-6S
17-8 Ma	Chione semplicata Nomland	Chione (Chinopsis) semplicata Nomland	Genus, 34N-6S
17-8 Ma	Chione semplicata Nomland	Chione semplicata Nomland	Genus, 34N-6S
17-8 Ma	Chione semplicata Nomland	Chione semplicata Nomland	Genus, 34N-6S
N.D.	Chione sp.	Venus (Chione) sp.	Genus, 34N-6S
27-23 Ma	Chione temblorensis subtemblorensis Loel and	Chione temblorensis (Anderson)	Genus, 34N-6S
	Corey		
27-23 Ma	Chione temblorensis subtemblorensis Loel and	Chione temblorensis subtemblorensis Loel and	Genus, 34N-6S
	Corey	Corey	
13-8 Ma	Chione vickeryi Wiedey	Chione vickeryi Wiedey	Genus, 34N-6S
5-1 Ma	Chlamys aff. C. anapleus Woodring 5-1 Ma	Chlamys aff. C. anapleus Woodring	Genus, 70N-1S
27? Ma-H	Chlamys aff. C. mollita (Reeve) 27? Ma-	Chlamys aff. C. mollita (Reeve)	Japan, 35N-27N
	Holocene		
32-23 Ma	Chlamys aff. C. sespeensis (Arnold) 32-23 Ma	Pecten (Chlamys) aff. P. (C.) sespeensis (Arnold)	Genus, 70N-1S
		n.sp.?	
8-2.5 Ma	Chlamys bartschi (Arnold) 8-2.5 Ma	Chlamys bartschi (Arnold) (Moore, 1984, p. B25)	Genus, 70N-1S
27-17 Ma	Chlamys branneri (Arnold) 27-17 Ma	Pecten branneri Arnold	Genus, 70N-1S
27-17 Ma	Chlamys branneri (Arnold) 27-17 Ma	Chlamys branneri (Arnold)	Genus, 70N-1S
65 Ma	Chlamys cf. C. proavus (Arnold)	Chlamys cf. C. proavus (Arnold)	Genus, 70N-1S; species, Paleocene
13-2.5 Ma	Chlamys corteziana Durham 13-2.5 Ma	Chlamys corteziana (Durham)	Genus, 70N-1S
13-2.5 Ma	Chlamys corteziana Durham 13-2.5 Ma	Chlamys corteziana Durham	Genus, 70N-1S
13-2.5 Ma	Chlamys corteziana Durham 13-2.5 Ma	Pecten sancti-ludovici Anderson and Martin in	Genus, 70N-1S
		Hanna	
5-2.5 Ma	Chlamys egregius (Nomland) 5-2.5 Ma	Chlamys egregius (Nomland)	Genus, 70N-1S
5-2.5 Ma	Chlamys hastata ellisi Hertlein and Grant 5-2.5 Ma	Chlamys (Chlamys) hastata ellisi Hertlein and	Species 60N-33N
		Grant	
13 Ma-H	Chlamys hastata hastata (Sowerby) 13 Ma-	Chlamys (Chlamys hastata Sowerby	59.5N-32.7N; rocky substrate, sand, on shale,
	Holocene		intertidal to 160 m
13 Ma-H	Chlamys hastata hastata (Sowerby) 13 Ma-	Chlamys (Chlamys) hastata Sowerby	59.5N-32.7N
	Holocene		
13 Ma-H	Chlamys hastata hastata (Sowerby) 13 Ma-	Chlamys hastata (Sowerby)	59.5N-32.7N
	Holocene		
13 Ma-H	Chlamys hastata hastata (Sowerby) 13 Ma-	Chlamys hastatus (Sowerby) 59.5N-32.7N	
	Holocene		
13 Ma-H	Chlamys hastata hastata (Sowerby) 13 Ma-	Chlamys hastatus Sowerby	59.5N-32.7N
	Holocene		
13 Ma-H	Chlamys hastata hastata (Sowerby) 13 Ma-	Pecten (Chlamys) hastatus Sowerby	59.5N-32.7N
	Holocene		
13 Ma-H	Chlamys hastata hastata (Sowerby) 13 Ma-	Pecten hastatus Sowerby	59.5N-32.7N
	Holocene		
13 Ma-H	Chlamys hastata hastata (Sowerby) 13 Ma-	Pecten lawsoni Arnold	59.5N-32.7N
	Holocene		
8? Ma-H	Chlamys hastata hericius (Gould) 8 Ma-	?Chlamys hericius (Gould)	59.5N-32.7N
	Holocene		
8? Ma-H	Chlamys hastata hericius (Gould) 8 Ma-	?Chlamys hastata forma hericia (Gould)	59.5N-32.7N
	Holocene		
8? Ma-H	Chlamys hastata hericius (Gould)? 8 Ma-	Chlamys (Chlamys) hastata hericius Gould	Species 59.5N-32.7N; rocky substrate, intertidal to
	Holocene		160 m
			
27-23 Ma	Chlamys hertleini (Loel and Corey) 27-13 Ma	Pecten hertleini Loel and Corey	Genus, 70N-1S
27-23 Ma	Chlamys hertleini (Loel and Corey) 27-13 Ma	Chlamys hertleini Loel and Corey	Genus, 70N-1S
27-23 Ma	Chlamys hertleini (Loel and Corey) 27-13 Ma	Pecten (Chlamys) hertleini Loel and Corey	Genus, 70N-1S
13-5 Ma	Chlamys hodgei (Hertlein) 13-5 Ma	Chlamys hodgei (Hertlein)	Genus, 70N-1S
13-5 Ma	Chlamys hodgei (Hertlein) 13-5 Ma	Chlamys durhami Adegoke	Genus, 70N-1S
5 Ma-H	Chlamys islandica (Muller) 5 Ma-Holocene	Chlamys cf. C. islandicus (Muller)	70N-64N
5-1 Ma	Chlamys jordani (Arnold) 5-1 Ma	Chlamys islandicus jordani (Arnold)	Genus, 70N-1S
5-1 Ma	Chlamys jordani (Arnold) 5-1 Ma	Chlamys rubida (Hinds) subsp. jordani (Arnold)	Genus, 70N-1S
5-1 Ma	Chlamys jordani (Arnold) 5-1 Ma	Chlamys (Chlamys) jordani Arnold	Genus, 70N-1S
8-5 Ma-H	Chlamys n.sp. aff. C. nipponensis Kuroda	Chlamys n.sp. aff. C. nipponensis Kuroda	Genus, 70N-1S
8-1 Ma	Chlamys opuntia (Dall) 8-1 Ma	Pecten (Chlamys) opuntia Dall	Genus, 70N-1S
8-1 Ma	Chlamys opuntia (Dall) 8-1 Ma	Chlamys opuntia (Dall)	Genus, 70N-1S
8-1 Ma	Chlamys opuntia (Dall) 8-1 Ma	Chlamys (Chlamys) opuntia Dall	Genus, 70N-1S
8 Ma-H	Chlamys rubida (Hinds) 8 Ma-Holocene	Chlamys (Chlamys) rubida (Hinds)	59.5N-32.7N; 1 to 200 m
8 Ma-H	Chlamys rubida (Hinds) 8 Ma-Holocene	Chlamys (Chlamys) rubida Hinds	60N-33N
8 Ma-H	Chlamys rubida (Hinds) 8 Ma-Holocene	Chlamys hindsii (Carpenter)	60N-33N
8 Ma-H	Chlamys rubida (Hinds) 8 Ma-Holocene	Chlamys islandicus hindsii (Carpenter)	60N-33N
8 Ma-H	Chlamys rubida (Hinds) 8 Ma-Holocene	Chlamys islandicus hindsii (Carpenter)	60N-33N
8 Ma-H	Chlamys rubida (Hinds) 8 Ma-Holocene	Chlamys rubida (Hinds)	60N-33N
8 Ma-H	Chlamys rubida (Hinds) 8 Ma-Holocene	Pecten hindsii Carpenter	60N-33N
13-8 Ma	Chlamys sanctiludovici (Anderson and Martin) 13-8 Ma	Pecten sancti-ludovici Anderson and Martin	Genus, 70N-1S
			
32-23 Ma	Chlamys sespeensis (Arnold) 32-23 Ma	Pecten (Lyropecten) sespeensis Arnold	Genus, 70N-1S
32-23 Ma	Chlamys sespeensis (Arnold) 32-23 Ma	Chlamys sespeensis (Arnold)	Genus, 70N-1S
32-23 Ma	Chlamys sespeensis (Arnold) 32-23 Ma	Pecten (Chlamys) sespeensis (Arnold)	Genus, 70N-1S
32-23 Ma	Chlamys sespeensis (Arnold) 32-23 Ma	Pecten sespeenis Arnold	Genus, 70N-1S
17-13 Ma	Chlamys sespeensis hydei (Arnold) 17-13 Ma	Chlamys sespeensis var. hydei (Arnold)	Genus, 70N-1S
N.D.	Chlamys sp.	Chlamys sp.	Genus, 70N-1S
N.D.	Chlamys sp.	Pecten (Chlamys) sp.	Genus, 70N-1S
N.D.	Chlamys? mediacostata mediacostata (Hanna)	Pecten (Lyropecten) mediacostatus (G.D. Hanna)	Genus, 70N-1S
			
13? or 5-2.5 Ma	Chlamys? mediacostata mediacostata (Hanna) 13? or 5-2.5 Ma	Pecten mediacostatus G.D. Hanna	Genus, 70N-1S
			
N.D.	Chlamys? sp.	Chlamys (?) sp.	Genus, 70N-1S; intertidal to 275 m, free swimming
N.D.	Chrysodomus sp.	Chrysodomus sp.	Questionable generic assignment
5 Ma-H	Cidarina cidaris (Adams)(Echinodermata)	Cidarina cidaris (A. Adams) n. var.?	55N-30N
		(Echinodermata)	
5 Ma-H	Cidarina cidaris (Adams)	Cidarina cidaris (Adams in Carpenter)	55N-30N
N.D.	Cidaris sp.	Cidaris sp.	Northeast Atlantic and Mediterranean
5 Ma-H	Clathromangelia interfossa? (Carpenter)	Clathromangelia interfossa? (no author)	48N-31N, lowtide to sublittoral
N.D.	Clathurella sp.	Clathurella sp.	Genus, 42N-32N
27-23 Ma	Clavocerithium santanum (Loel and Corey)	Terebra santana Loel and Corey	Genus not living; Terebra, 34N-3S
	(Squires, 1993)		
N.D.	Clementia (Egesta) sp.	Clementia sp.	Subgenus, 28N-0
27-13 Ma	Clementia (Egesta) conradiana (Anderson)	Chione conradiana Anderson	Subgenus, 28N-0
