TimeSlice	Taxonomy	TaxonomyAuthors	LatRange
27-2.5 Ma	Mactromeris albaria (Conrad)	Macoma albaria (Conrad)	Genus, 71N-4S
27-2.5 Ma	Mactromeris albaria (Conrad)	Mactra albaria Conrad	Genus, 71N-4S
27-2.5 Ma	Mactromeris albaria (Conrad)	Spisula (Mactromeris) albaria (Conrad)	Genus, 71N-4S
27-2.5 Ma	Mactromeris albaria (Conrad)	Spisula albaria (Conrad)	Genus, 71N-4S
27-2.5 Ma	Mactromeris albaria (Conrad)	Spisula albaria Conrad	Genus, 71N-4S
27-2.5 Ma	Mactromeris albaria (Conrad)	Spisula albaria coosensis Howe	Genus, 71N-4S
17 to 13 Ma	Mactromeris albaria cf. M. ramonensis Packard	Spisula albaria cf. ramonensis Packard	Genus, 71N-4S
8-2.5 Ma	Mactromeris brevirostrata (Packard)	Spisula (Hemimactra) brevirostrata Packard	Genus, 71N-4S
8-2.5 Ma	Mactromeris brevirostrata (Packard)	Spisula brevirostrata Packard	Genus, 71N-4S
			
27 Ma-H	Mactromeris catilliformis (Conrad)	Spisula (Hemimactra) catilliformis Conrad	37.9N-27.8N; 5 to 20 m, sloughs and sheltered areas
			of outer coast
27 Ma-H	Mactromeris catilliformis (Conrad)	Spisula (Mactromeris) catilliformis Conrad	38N-28N
27 Ma-H	Mactromeris catilliformis (Conrad)	Spisula (Mactromeris) mercedensis Packard	38N-28N
27 Ma-H	Mactromeris catilliformis (Conrad)	Spisula (Spisula) catilliformis Conrad	38N-28N
27 Ma-H	Mactromeris catilliformis (Conrad)	Spisula catilliformis (Pack)	38N-28N
27 Ma-H	Mactromeris catilliformis (Conrad)	Spisula mercedensis Packard	38N-28N
8-2.5 Ma	Mactromeris coalingensis (Arnold)	Mactra coalingensis Arnold	Genus, 71N-4S
8-2.5 Ma	Mactromeris coalingensis (Arnold)	Spisula coalingensis Arnold	Genus, 71N-4S
27? or 13 Ma-H	Mactromeris hemphilli (Dall)	Spisula (Mactromeris) hemphillii Dall	35.5N-26.2N; intertidal to 95 m, common offshore
27? or 13 Ma-H	Mactromeris hemphilli (Dall)	Spisula (Hemimactra) hemphilli (Dall)	36N-26N
27? or 13 Ma-H	Mactromeris hemphilli (Dall)	Spisula hemphilli (Dall)	36N-26N
27? or 13 Ma-H	Mactromeris hemphilli (Dall)	Spisula (Spisula) hemphilli (Dall)	36N-26N
27? or 13 Ma-H	Mactromeris hemphilli (Dall)	Mactra (Spisula) hemphilli Dall (or catilliformis	36N-26N
		Conrad?)	
8-5 Ma	Mactromeris mossbeachensis Glen	Spisula (Hemimactra) mossbeachensis Glen	Genus, 71N-4S
8-5 Ma	Mactromeris mossbeachensis Glen	Spisula mossbeachensis Glen	Genus, 71N-4S
8 Ma-H	Mactromeris polynyma (Stimpson)	Spisula (Hemimactra) voyi (Gabb)	70.8N-46N
8 Ma-H	Mactromeris polynyma (Stimpson)	Spisula voyi Gabb	71N-46N
8 Ma-H	Mactromeris polynyma (Stimpson)	Spisula voyi (Gabb)	71N-46N
17-8 Ma	Mactromeris selbyensis Packard	Spisula selbyensis Packard	Genus, 71N-4S
17-8 Ma	Mactromeris selbyensis Packard	Spisula albaria selbyensis Packard	Genus, 71N-4S
17-13 Ma	Mactromeris sp. cf. M. rushi (Wagner and Schilling)	Spisula sp. cf. S. rushi Wagner and Schilling	Genus, 71N-4S
			
5 Ma-H	Mactrotoma (Micromactra) californica (Conrad)	Mactra californica Conrad	36.6N-8.9N, Gulf of California; sandflats, bays,
			intertidal to 15 m
13? or 5-2.5 Ma	Maeundra bowersi (Vaughan)	Maeundra bowersi (Vaughan)	“Reef-corals,” present-day genus living in Caribbean
13 Ma-H	Malea ringens (Swainson)	Malea ringens (Swainson)	31N, Gulf of California-5S; rock at extreme tides and
			sand bars
13 Ma-H	Malea ringens (Swainson)	Malela ringens Swainson	31N, Gulf of California-5S
5 Ma-H	Mangelia aff. M. variegata Carpenter	Mangelia aff. M. variegata Carpenter	Alaska or 37N-24N
5 Ma-H	Mangelia barbarensis Oldroyd	Mangelia barbarensis Oldroyd	34N-23N, Gulf of California
8 Ma-H	Mangelia interlirata Stearns	Mangelia interlirata Stearns	37N-33N
5-2.5 Ma	Mangelia intermedia (Arnold)	“Mitromorpha” intermedia Arnold	Genus, 72N-1S
5-2.5 Ma	Mangelia painei Arnold Mangelia sp.	Mangelia painei Arnold Mangelia sp.	Genus, 72N-1S
N.D.			Genus, 72N-1S
5 Ma-H	Mangelia variegata Carpenter	Mangelia variegata Carpenter	Alaska or 37N-24N
5 Ma-H	Mangelia variegata Carpenter	Clathromangelia variegata (Carpenter)	Alaska or 37N-24N
8 Ma-H	Margarites (Lirularia) condoni Dall	Margarita condoni Dall	72N-29N
8 Ma-H	Margarites (Lirularia) condoni Dall	Margarites (Lirularia) condoni Dall	72N-29N
5-2.5 Ma	Margarites (Pupillaria) arestus (Berry)	Pupillaria aresta (Berry)	72N-29N; intertidal to 229 m
5 Ma-H	Margarites (Pupillaria) cf. M. (P.) optabilis	Pupillaria cf. P. optabilis (Carpenter)	34N-32N
	(Carpenter)		
8 Ma-H	Margarites (Pupillaria) pupillus (Gould)	Margarita pupilla Gould	60N-32N, deep water
8 Ma-H	Margarites (Pupillaria) pupillus (Gould)	Pupillaria pupilla (Gould)	60N-32N, deep water
8 Ma-H	Margarites (Pupillaria) pupillus (Gould)	Margarites pupillus (Gould)	60N-32N, deep water
8-5 Ma	Margarites johnsoni (Arnold)	Margarita johnsoni Arnold	Genus, 72N-29N
			
8-5 Ma	Margarites johnsoni (Arnold)	Margarites johnsoni (Arnold)	Genus, 72N-29N
N.D.	Margarites sp.	Margarites sp.	Genus, 72N-29N
N.D.	Marginella sp.	Marginella sp.	Genus, 37N-1S; intertidal to 230 m, on rocks
27-13 Ma	Mediargo cf. M. mathewsoni (Gabb)	Mediargo? cf. M. mathewsoni (Gabb)	Genus not living
23-13 Ma	Mediargo dilleri (Anderson and Martin)	Argobuccinum dilleri Anderson and Martin	Genus not living
23-13 Ma	Mediargo dilleri (Anderson and Martin)	Argobuccinum n.sp.	Genus not living
23-13 Ma	Mediargo dilleri (Anderson and Martin)	Gyrineum dilleri (Anderson and Martin)	Genus not living
23-13 Ma	Mediargo dilleri (Anderson and Martin)	Mediargo dilleri (Anderson and Martin)	Genus not living
27-13 Ma	Mediargo mathewsoni (Gabb)	Mediargo mathewsoni (Gabb)	Genus not living
13-8 Ma	Mediargo trampasensis (Clark)	Bursa carinata Clark	Genus not living
13-8 Ma	Mediargo trampasensis (Clark)	Bursa trampasenis Clark	Genus not living
8 Ma-H	Megabalanus californicus (Pilsbry) (Arthropoda)	Megabalanus (Megabalanus) californicus	37N-24N
		(Pilsbry) (Arthropoda)	
8-5 Ma	Megabalanus californicus (Pilsbry) (Newman and	Balanus tintinnabulum cf. B. californicus (no	37N-24N
	Ross, 1976)	author given)	
8-5 Ma	Megabalanus coccopoma (Darwin) (Newman	Balanus tintinnabulum (Linnaeus) cocopoma (no	23N-8N
	and Ross, 1976)	author given)	
8-5 Ma	Megapetalus cf. M. lovenoides Clark	Megapetalus cf. M. leniodes Clark	Genus not living, Miocene-Pliocene
	(Echinodermata)	(Echinodermata)	
8-5 Ma	Megapetalus cf. M. lovenoides Clark	Megapetalus sp.	Genus not living, Miocene-Pliocene
5-2.5 Ma	Megapetalus holmani (Grant and Hertlein)	Palaeopneustus holmani Grant ant Hertlein	Genus not living, Miocene-Pliocene
8-5 Ma	Megapetalus lovenoides Clark	Megapetalus lovenioides Clark	Genus not living, Miocene-Pliocene
23? or 13 Ma-H	Megapitaria af. M. squalida (Sowerby)	Macrocallista (Megapitaria) aff. M. (M.) squalida	31N-4S; sandy mudflats to 120 m
		(Sowerby)	
23? or 13 Ma-H	Megapitaria aff. M. squalida (Sowerby)	Macrocallista cf. M. maculata (Linnaeus)	31N-4S
5-2.5 Ma	Megapitaria densa (Moody)	Macrocallista densa Moody	Genus, 31N-4S; sandy mudflats to 120 m
5-2.5 Ma	Megapitaria densa (Moody)	Megapitaria densa (Moody)	Genus, 31N-4S
N.D.	Megapitaria sp.	Macrocallista sp.?	Genus, 31N-4S
23? or 13 Ma-H	Megapitaria squalida (Sowerby)	Megapitaria squalida Sowerby	31N-4S
23? or 13 Ma-H	Megapitaria squalida (Sowerby)	Megapitaria squalida (Sowerby)	31N-4S
8-5 Ma	Megasurcula aff. M. cooperi (Arnold)	Megasurcula aff. M. cooperi (Arnold)	Genus, 38N-28N; 18 to 370 m
13? or 8 Ma-H	Megasurcula carpenteriana (Gabb)	Megasurcula carpenteriana (Gabb)	38N-28N, 27 to 100 m, common on sandy bottoms
13? or 8 Ma-H	Megasurcula carpenteriana (Gabb)	Turris (Bathytoma) carpenteriana (Gabb)	38N-28N
8-2.5 Ma	Megasurcula carpenteriana (Gabb) femandoana	Bathytoma carpenteriana femandoana Arnold	Species, 38N-28N
	(Arnold)		
8-2.5 Ma	Megasurcula carpenteriana (Gabb) fernandoana	Megasurcula carpenteriana (Gabb) fernandoana	Species, 38N-28N
	(Arnold)	(Arnold)	
8-2.5 Ma	Megasurcula cf. M. carpenteriana (Gabb)	Surculites (Megasurcula) cf. carpenterianus	38N-28N
		(Gabb)	
8-5 Ma	Megasurcula cf. M. cooperi (Arnold)	Megasurcula cf. M. cooperi (Arnold)	Genus, 38N-28N, common on offshore sandy
			bottoms
23-13 Ma	Megasurcula cf. M. keepi (Arnold)	Pseudotoma cf. P. keepi (Arnold)	Genus, 38N-28N
27-17 Ma	Megasurcula condonana (Anderson and Martin)	Megasurcula condonana (Anderson and Martin)	Genus, 38N-28N
23-13 Ma	Megasurcula howei Hanna and Hertlein	Megasurcula howei Hanna and Hertlein	Genus, 38N-28N
23-13 Ma	Megasurcula howei Hanna and Hertlein	Turris n.sp. of Loel and Corey (1932)	Genus, 38N-28N
23-13 Ma	Megasurcula howei Hanna and Hertlein	Turris n.sp. (large)?	Genus, 38N-28N
23-13 Ma	Megasurcula keepi (Arnold)	Bathytoma keepi Arnold	Genus, 38N-28N
23-13 Ma	Megasurcula keepi (Arnold)	Megasurcula keepi (Arnold)	Genus, 38N-28N
23-13 Ma	Megasurcula keepi (Arnold)	Pleurotoma (Bathytoma) keepi Arnold	Genus, 38N-28N
23-13 Ma	Megasurcula keepi (Arnold)	Pleurotoma (Dolichotoma) keepi Arnold	Genus, 38N-28N
23-13 Ma	Megasurcula keepi (Arnold)	Surcula (Bathytoma) keepi (Arnold)	Genus, 38N-28N
23-13 Ma	Megasurcula keepi (Arnold)	Turris keepi (Arnold)?	Genus, 38N-28N
N.D.	Megasurcula n.sp.?	Turris n.sp. (large)	Genus, 38N-28N
13-8 Ma	Megasurcula sinuata (Gabb)	Surculites sinuatus (Gabb)	Genus, 38N-28N
			
N.D.	Megasurcula sp.	Megasurcula sp.	Genus, 38N-28N
N.D.	Megasurcula sp.	Pseudostoma sp.	Genus, 38N-28N
13-2.5 Ma	Megasurcula steamsiana (Raymond)	Megasurcula remondii (Gabb)	Genus, 38N-28N
13-2.5 Ma	Megasurcula steamsiana (Raymond)	Surculites (Megasurcula) remondii (Gabb)	Genus, 38N-28N
13-2.5 Ma	Megasurcula steamsiana (Raymond)	Surculites remondi (Gabb)	Genus, 38N-28N
8 Ma-H	Megasurcula tryoniana (Gabb)	Megasurcula tryoniana (Gabb)	34N-32N
8 Ma-H	Megasurcula tryoniana (Gabb)	Turris (Bathytoma) tryoniana (Gabb)	34N-32N
8 Ma-H	Megasurcula tryoniana (Gabb)	Megathura crenulata (Sowerby)?	37N-24N
8 Ma-H	Megasurcula tryoniana (Gabb) (synonym of M.	Megasurcula carpenteriana tryoniana (Gabb)	34N-32N, 15 to 64 m, sandy bottoms
	carpenteriana [McLean, 1978])		
23-13 or 5? Ma	Megasurcula wynoocheensis (Weaver)	Megasurcula wynoocheensis (Weaver)	Genus, 38N-28N
5 Ma-H	Megathura crenulata (Sowerby)	Megathura crenulata (Sowerby)	37N-24N
N.D.	Megathura sp. (or Terebra sp.)	Megathura sp.	Megathura, 37N-28N
5 Ma-H	Melampus (Melampus) cf. M. (M.) olivaceus	Melampus cf. M. olivaceus Carpenter	34N-23N, through Gulf of California; above high-tide
	Carpenter		line in bays
27-8 Ma	Melongena californica Anderson and Martin	Melongena californica Anderson and Martin	Genus, northern Gulf of California-8N; sand and
			mudflats
23-17 Ma	Melongena sanjuanensis Anderson and Martin	Melongena sanjuanensis Anderson and Martin	Genus, northern Gulf of California-8N
27-23 Ma	Mercenaria? virginiana (Loel and Corey)	Venus virginiana Loel and Corey	Genus, 28N in Gulf of California and Atlantic Ocean
5-2.5 Ma	Merriamaster arnoldi (Twitchell) (Echinodermata)	Dendraster (Merriamaster) arnoldi Twitchell	Genus not living
		(Echinodermata)	
5-2.5 Ma	Merriamaster arnoldi (Twitchell)	Merriamaster arnoldi (Twitchell)	Genus not living
8-2.5 Ma	Merriamaster cf. M. israelskyi (Jordan and	Merriamaster cf. M. israelskyi Jordan and	Genus not living
	Hertlein)	Hertlein	
8-2.5 Ma	Merriamaster israelskyi (Jordan and Hertlein)	Astrodapsis israelskyi Jordan and Hertlein	Genus not living
5-2.5 Ma	Merriamaster pacificus (Kew)	Merriamaster pacificus Kew	Genus not living
	Merriamaster perrini (Weaver)	Dendraster (Merriamaster) perrini (Weaver)	Genus not living
5-2.5 Ma	Merriamaster perrini (Weaver)	Merriamaster perrini (Weaver)	Genus not living
13 Ma-H	Metalia spatagus? (Linnaeus)	Metalia spatagus? Linnaeus	24N-8N
5 Ma-H	Micranellum crebricinctum (Carpenter)	Micranellum crebricinctum (Carpenter)	55N-28N; intertidal to 73 m
5 Ma-H	Microglyphis breviculus (Dall)	Microglyphus breviculus (Dall)	37N-30N; genus, 65 to 1820 m
5 Ma-H	Milneria cf. M. kelseyi Dall	Milneria cf. M. kelseyi Dall	37N-27.1N; intertidal to 40 m, nestling under rocks
5 Ma-H	Milneria minima Dall	Milneria minima Dall	50.8N-29N; intertidal to 30 m, nestling under rocks
27-13 or 8? Ma	Miltha (Miltha) sanctaecrucis (Arnold)	Miltha (Miltha) sanctaecrucis (Arnold)	Genus, 26N-25N; 55 m or deeper
27-13 or 8? Ma	Miltha (Miltha) sanctaecrucis (Arnold)	Miltha sanctaecrucis (Arnold)	Genus, 26N-25N
27-13 or 8? Ma	Miltha (Miltha) sanctaecrucis (Arnold)	Phacoides (Miltha) sanctaecrucis Arnold	Genus, 26N-25N
27-13 or 8? Ma	Miltha (Miltha) sanctaecrucis (Arnold)	Phacoides santaecrucis Arnold	Genus, 26N-25N
N.D.	Miltha (Miltha) sp.	Miltha sp.	Genus, 26N-25N
13 Ma-H	Miltha (Miltha) xantusi (Dall)	Lucina (Miltha) xantusi Dall	26N-25N; 55 m or deeper
13 Ma-H	Miltha (Miltha) xantusi (Dall)	Miltha xantusi Dall	26N-25N
13 Ma-H	Miltha (Miltha) xantusi (Dall)	Phacoides xantusi Dall	26N-25N
8-5 Ma	Miltha (Miltha?) jacalitosana (Arnold)	Paphia jacalitosensis Arnold	Genus, 26N-25N
N.D.	Miltha sp.	Miltha sp.	Genus, 26N-25N
5 Ma-H	Miodontiscus prolongatus Carpenter	Miodontiscus prolongatus Carpenter	60.8N-32.7N; 5 to 210 m
13? or 5-2.5 Ma	Mirachelus imperialis Schremp	Mirachelus imperialis Schremp	Genus, 10N-0; 91 to 183 m
17-13 Ma	Mitra (Atrimitra) andersoni Addicott	Mitra (Atrimitra) andersoni Addicott	Subgenus, 25N-3S, Gulf of California; 5 to 73 m
			
5 Ma-H	Mitra (Atrimitra) idea Melvill	Mitra (Atrimitra) idea Melvill	39N-28N
8 Ma-H	Mitra idae Melvill	Mitra idae Melvill	39N-33N
13 Ma-H	Mitra orientalis Griffith and Pidgeon	Mitra sulcata Swainson	42N-south of equator
23-13 Ma	Mitrella (Columbellopsis) alta Addicott	Mitrella (Columbellopsis) alta Addicott	Genus, 70N-5N; subgenus Mediterranean
23-13 Ma	Mitrella (Columbellopsis) alta Addicott	Mitrella (Columbellopsis) n.sp.	Genus, 70N-5N; subgenus Mediterranean
27-13 Ma	Mitrella (Columbellopsis) richthofeni (Gabb)	Mitrella (Columbellopsis) richthofeni (Gabb)	Genus, 70N-5N; subgenus, Mediterranean
17-13 Ma	Mitrella anchuela Keen	Mitrella anchuela Keen	Genus, 70N-5N; intertidal to 549 m, chiefly sublittoral
13? or 5 Ma-H	Mitrella carinata (Hinds)	Mitrella carinata (Hinds)	38N-23N, littoral to 64 m, among rocks and eelgrass
8 Ma-H	Mitrella gouldii (Carpenter)	Columbella (Astryis) constantia Moody	55N-24N
8 Ma-H	Mitrella gouldii (Carpenter)	Mitrella gouldi (Carpenter)	55N-24N
13-8 Ma	Mitrella pittsburgensis (Clark)	Columbella (Astyris) pittsburgensis Clark	Genus, 70N-5N
8-2.5 Ma	Mitrella richthofeni (Gabb)	Astyris richthofeni Gabb	Genus, 70N-5N
8-2.5 Ma	Mitrella richthofeni (Gabb)	Columbella (Astyris) richthofeni (no author given)	Genus, 70N-5N
8-2.5 Ma	Mitrella richthofeni (Gabb)	Mitrella richthofeni (Gabb)	Genus, 70N-5N
N.D.	Mitrella sp.	Mitrella sp.	Genus, 70N-5N; subgenus Mediterranean
N.D.	Mitrella sp.	Columbella sp.	Genus, 70N-5N
5 Ma-H	Mitrella sp. a (Davis, 1998)	Mitrella sp. A (Davis, 1998)	Genus, 70N-5N
5 Ma-H	Mitrella sp. b (Davis, 1998)	Mitrella sp. B (Davis, 1998)	Genus, 70N-5N
N.D.	Mitrella sp.?	Astyris n.sp.	Genus, 70N-5N
23 Ma-H	Mitrella tuberosa (Carpenter)	Mitrella tuberosa Carpenter	55N-23N
23 Ma-H	Mitrella tuberosa (Carpenter)	Mitrella tuberosa (Carpenter)	55N-23N
13 Ma-H	Modiolus (Modiolus) capax (Conrad)	Volsella capax (Conrad)	36.6N-5.1S; at low tide; shallow sublittoral, protected
			areas
13 Ma-H	Modiolus (Modiolus) capax (Conrad)	Modiolus capax Conrad	37N-5S, intertidal to 200 m, common in bays on
			pillings
13 Ma-H	Modiolus (Modiolus) capax (Conrad)	Modiolus (Modiolus) capax (Conrad)	37N-5S
8 Ma-H	Modiolus (Modiolus) cf. M. (M.) modiolus	Modiolus (Modiolus) cf. M. (M.) modiolus	57.8N-36.6N; intertidal to 200 m
	(Linnaeus)	(Linnaeus)	
8 Ma-H	Modiolus (Modiolus) cf. M. (M.) modiolus	Volsella cf. V. modiolus (Linnaeus)	58N-37N in Pacific; 70N?-35N in western Atlantic
	(Linnaeus)		
27-23 Ma	Modiolus (Modiolus) lagunanus Loel and Corey	Modiolus (Modiolus) lagunanus Loel and Corey	Genus, 73N-5S; intertidal to 73 m, attached to rocks
			or in sand
27-23 Ma	Modiolus (Modiolus) lagunanus Loel and Corey	Modiolus ynezianus lagunanus Loel and Corey	Genus, 73N-5S
27-23 Ma	Modiolus (Modiolus) lagunanus Loel and Corey	Modiolus ynezianus (Arnold) lagunanus Loel and	Genus, 73N-5S
		Corey	
17-13 Ma	Modiolus (Modiolus) veronensis temblorensis	Modiolus (Modiolus) veronensis temblorensis	Genus, 73N-5S
	Adegoke	Adegoke	
17-13 Ma	Modiolus (Modiolus) veronensis temblorensis	Modiolus veronensis temblorensis Adegoke	Genus, 73N-5S
	Adegoke		
13-8 Ma	Modiolus (Modiolus) veronensis Trask	Brachiodontes veronensis (Trask)	Genus, 73N-5S
13-8 Ma	Modiolus (Modiolus) veronensis Trask	Modiolus (Modiolus) veronensis Trask	Genus, 73N-5S
13-8 Ma	Modiolus (Modiolus) veronensis Trask	Modiolus veronensis Trask	Genus, 73N-5S
13-8 Ma	Modiolus (Modiolus) veronensis Trask	Nuculana veronensis (Trask)	Genus, 73N-5S
27-23 Ma	Modiolus (Modiolus) ynezianus Arnold	Modiolus (Modiolus) ynezianus Arnold	Genus, 73N-5S
27-23 Ma	Modiolus (Modiolus) ynezianus Arnold	Modiolus ynesianus Arnold	Genus, 73N-5S
17-13 Ma	Modiolus (Modiolus) ynezianus garzaensis	Modiolus (Modiolus) ynezianus garzaensis	Genus, 73N-5S
	Adegoke	Adegoke	
17-13 Ma	Modiolus (Modiolus) ynezianus garzaensis	Modiolus ynezianus garzaensis Adegoke	Genus, 73N-5S
	Adegoke		
23 Ma-H	Modiolus (Modiolusia) flabellatus (Gould)	Modiolus (Modiolus) flabellatus (Gould)	54N-30N
23 Ma-H	Modiolus (Modiolusia) flabellatus (Gould)	Modiolus directus (Dall)	54N-30N
23 Ma-H	Modiolus (Modiolusia) flabellatus (Gould)	Modiolus directus Dall	54N-30N
13 Ma-H	Modiolus (Modiolusia) flabellatus (Gould)	Modiolus flabellatus (Gould)	54N-30N
13 Ma-H	Modiolus (Modiolusia) flabellatus (Gould)	Volsella recta (Conrad) var. flabellata (Gould)	54N-30N
13 Ma-H	Modiolus (Modiolusia) flabellatus (Gould)	Volsella recta flabellata (Gould)	54N-30N
13 Ma-H	Modiolus (Modiolusia) rectus (Conrad)	Modiolus (Modiolus) rectus (Conrad)	54.1-5.1S; mudflats, intertidal to 15 m
13 Ma-H	Modiolus (Modiolusia) rectus (Conrad)	Modiolus rectus (Conrad)	54N-5S
13 Ma-H	Modiolus (Modiolusia) rectus (Conrad)	Modiolus rectus Conrad	54N-5S
13 Ma-H	Modiolus (Modiolusia) rectus (Conrad)	Volsella recta (Conrad)	54N-5S
5 Ma-H	Modiolus (Modiolusia?) sacculifer Berry	Modiolus (Modiolus?) sacculifer Berry	34N-33N; 35 to 50 m
5 Ma-H	Modiolus (Modiolusia?) sacculifer Berry	Modiolus sacculifer Berry	34N-33N
N.D.	Modiolus sp.	Volsella sp.	Genus, 73N-5S
N.D.	Modiolus sp.	Modiolus sp.	Genus, 73N-5S
13-8 Ma	Modiolus unidens Lister	Modiolus unidens Lister	Genus, 73N-5S
13-8 Ma	Modiolus? (Modiolus?) clarki Moore	Mytilus merriami Clark	Genus, 73N-5S
13-8 Ma	Modulus modulus Linnaeus	Modulus modulus Linnaeus	Genus, Gulf of California-3S; 35N-15N, Atlantic;
			mudflats
N.D.	Modulus? n.sp.	Modulus? n.sp.	Genus, Gulf of California-3S; 35N-15N, Atlantic;
			rocky shores
27-13 Ma	Molopophorus anglonanus (Anderson)	Bullia (Molopophorus) anglonana Anderson	Genus not living
27-13 Ma	Molopophorus anglonanus (Anderson)	Cuma biplicata Gabb	Genus not living
27-13 Ma	Molopophorus anglonanus (Anderson)	Molopophorus anglonana (Anderson)	Genus not living
27-13 Ma	Molopophorus anglonanus (Anderson)	Molopophorus anglonanus (Anderson)	Genus not living
23-17 Ma	Molopophorus matthewi Etherington	Molopophorus matthewi Etherington	Genus not living
N.D.	Molopophorus sp.	Molopophorus sp.	Genus not living
17-13 Ma	Morula (Morunella) granti Addicott	Morula (Morunella) granti Addicott	Subgenus, 25N-3N, through Gulf of California
N.D.	Murex sp.	Murex sp.	Questionable taxonomic assignment
N.D.	Murex sp.	Murex sp.	Genus, 28N-3S, throughout Gulf of California; to
			depths of 75 m
5-2.5 Ma	Musashia (Nipponomelon) oregonensis (Dall)	Musashia (Nipponomelon) oregonensis (Dall)	N.D.
5 Ma-H	Musculus niger (Gray)	Musculus (Musculus) stalderi (Martin)	71N-46.6N; intertidal to 150 m
5 Ma-H	Musculus niger (Gray)	Modiolus stalderi Martin	71N-47N
13 Ma-H	Mya (Arenomya) arenaria Linnaeus	Mya arenaria Linnaeus	70.3N-32.7N; intertidal, mudflats, lagoons, back bays,
			and estuaries
13 Ma-H	Mya (Arenomya) arenaria Linnaeus	Mya (Arenomya) arenaria Linnaeus	70N-33N
17-13 Ma	Mya (Arenomya) fujiei MacNeil	Mya (Arenomya) fujiei MacNeil	Genus, 71N-33N; intertidal to 37 m, sandy mud, black
			mud, bays
8-5 Ma	Mya (Arenomya) macneili Adegoke	Mya (Arenomya) macneili Adegoke	Genus, 71N-33N
13-8 or 2.5? Ma	Mya dickersoni Clark	Mya dickersoni Clark	Genus, 71N-33N
8 Ma-H	Mya japonica Jay (probably M. arenaria	Mya japonica Jay	71N-37N
	Linnaeus)		
N.D.	Mya sp.	Mya sp.	Genus, 71N-33N
8 Ma-H	Mya truncata Linnaeus	Mya truncata Linnaeus	71.4N-48.4N; intertidal to 100 m
17-13 Ma	Myadesma pacifica Hall and Ambrose	Myadesma pacifica Hall and Ambrose	Genus not living
17-13 Ma	Mytella cf. M. inezensis (Conrad)	Volsella cf. V. inezana (Conrad)	Genus, 29N-4S; intertidal to 5 m, mudflats
8-2.5 Ma	Mytilus (Crenomytilus) coalingensis Arnold	Crenomytilus coalingensis (Arnold)	Subgenus, Japan and Philippines; genus, 72N-19N
			intertidal, rocks
8-2.5 Ma	Mytilus (Crenomytilus) coalingensis Arnold	Mytilus (Crenomytilus) coalingensis (Arnold)	Subgenus, Japan and Philippines; genus, 72N-19N
8-2.5 Ma	Mytilus (Crenomytilus) coalingensis Arnold	Mytilus (Mytiloconcha) coalingensis Arnold	Subgenus, Japan and Philippines; genus, 72N-19N
			
8-2.5 Ma	Mytilus (Crenomytilus) coalingensis Arnold	Mytilus coalingensis (Arnold)	Subgenus, Japan and Philippines; genus, 72N-19N
8-2.5 Ma	Mytilus (Crenomytilus) coalingensis Arnold	Mytilus coalingensis Arnold	Subgenus, Japan and Philippines; genus, 72N-19N
27-13 or 2.5? Ma	Mytilus (Crenomytilus) expansus Arnold	Mytilus mathewsoni Gabb expansus Arnold	Subgenus, Japan and Philippines; genus, 72N-19N
			
27-13 or 2.5? Ma	Mytilus (Crenomytilus) expansus Arnold	Crenomytilus expansus Arnold	Subgenus, Japan and Philippines; genus, 72N-19N
			
27-13 or 2.5? Ma	Mytilus (Crenomytilus) expansus Arnold	Mytilus expansus Arnold	Subgenus, Japan and Philippines; genus, 72N-19N
			
13-5 Ma	Mytilus (Crenomytilus) kewi Nomland	Mytilus kewi Nomland	Subgenus, Japan and Philippines; genus, 72N-19N
27-13 Ma	Mytilus (Crenomytilus) mathewsonii Gabb	Mytilus mathewsonii Gabb	Subgenus, Japan and Philippines; genus, 72N-19N
5-2.5 Ma	Mytilus (Crenomytilus) sternbergi Hertlein and	Mytilus (Crenomytilus) coalingensis sternbergi	Subgenus, Japan and Philippines; genus, 72N-19N
	Grant	Hertlein	
13-8 Ma	Mytilus (Crenomytilus) trampasensis Clark	Mytilus (Mytiloncha) trampasensis Clark	Subgenus, Japan and Philippines; genus, 72N-19N
17-8 Ma	Mytilus (Crenomytilus?) perrini Clark	Mytilus perrini Clark	Subgenus, Japan and Philippines; genus, 72N-19N
17-8 Ma	Mytilus (Crenomytilus?) schencki Hanna and	Mytilus schencki Hanna and Hertlein	Subgenus, Japan and Philippines; genus, 72N-19N
	Hertlein		
5 Ma-H	Mytilus (Mytilus) californianus Conrad	Mytilus californianus Conrad	59.2N-18.8N; upper intertidal, attached to rocks by
			byssus, to 50 m
27-8 Ma	Mytilus (Mytilus?) cf. M. (M.?) loeli Grant	Mytilus cf. M. kewi Nomland	Subgenus, Japan and Philippines; genus, 72N-19N
27-8 Ma	Mytilus (Mytilus?) loeli Grant	Mytilus hamlini Loel and Corey	Genus, 72N-19N
27-8 Ma	Mytilus (Mytilus?) loeli Grant	Mytilus loeli Grant	Genus, 72N-19N
23-13 Ma	Mytilus (Plicatomytilus) cf. M. (P.) middendorffi	Mytilus cf. M. middendorffi Grewingk	Genus, 72N-19N
	Grewingk		
23-13 Ma	Mytilus (Plicatomytilus) middendorffi Grewingk	Mytilus middendorffi Grewingk	Genus, 72N-19N
8-5 Ma	Mytilus highoohiae Mandra	Mytilus highoohiae Mandra	Genus, 72N-19N
N.D.	Mytilus sp.	Mytilus sp.	Genus, 72N-19N
